交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
6月10日,530,533,529,530,-11,-2.03,0.74,"22,615","44,802",0.5,120,"-14,523",-10.7,257,"-14,277",72.3,760,"32,229",-136,0,0
6月9日,538,542,537,541,-3,-0.55,0.92,"16,894","18,802",0.9,91.2,"-2,306",252,293,"-1,761",72.4,-46,"31,469",-51,136,0.43
6月8日,539,545,538,544,9,1.68,1.31,"19,610","18,487",1.06,106,"4,544",-27,"1,254","5,771",72.4,-927,"31,515",-8,187,0.59
6月7日,535,538,532,535,-5,-0.93,1.11,"22,153","28,586",0.77,118,"-5,589",-63,824,"-4,828",72.4,602,"32,442",-56,195,0.6
6月6日,541,544,538,540,0,0,1.11,"23,732","16,614",1.43,128,"-3,910",-69,480,"-3,499",72.4,225,"31,840",-46,251,0.79
6月2日,544,545,540,540,-9,-1.64,0.91,"26,063","30,042",0.87,141,"-3,067","-1,991",-300,"-5,359",72.5,705,"31,615",-76,297,0.94
6月1日,550,555,548,549,-11,-1.96,1.25,"32,971","33,456",0.99,182,"-4,503",-30,-382,"-4,915",72.5,592,"30,910",-403,373,1.21
5月31日,542,560,540,560,13,2.38,3.66,"81,963","34,286",2.39,455,"14,406",328,-795,"13,939",72.5,-918,"30,318",291,776,2.56
5月30日,538,547,537,547,17,3.21,1.89,"36,480","42,797",0.85,198,"13,819",491,842,"15,151",72.4,"-1,725","31,236",191,485,1.55
5月27日,524,530,522,530,16,3.11,1.56,"30,113","28,711",1.05,159,"4,687",166,"1,098","5,952",72.4,-821,"32,961",25,294,0.89
5月26日,523,525,513,514,-10,-1.91,2.29,"31,543","72,846",0.43,163,"-13,629",95,67.8,"-13,466",72.4,181,"33,782",-22,269,0.8
5月25日,522,529,520,524,4,0.77,1.73,"22,460","18,352",1.22,118,"-3,965",2,"1,985","-1,977",72.4,395,"33,601",-33,291,0.87
5月24日,530,531,520,520,-8,-1.52,2.08,"19,131","31,716",0.6,100,"-3,855","1,469",-139,"-2,525",72.4,-5,"33,206",-29,324,0.98
5月23日,533,534,528,528,-2,-0.38,1.13,"18,919","18,775",1.01,100,-39.1,47,437,445,72.5,-428,"33,211",-3,353,1.06
5月20日,524,532,523,530,8,1.53,1.72,"26,111","21,767",1.2,138,"3,715",158,319,"4,192",72.5,-262,"33,639",34,356,1.06
5月19日,523,527,520,522,-16,-2.97,1.3,"40,798","47,232",0.86,213,"-12,178",-99,-240,"-12,518",72.4,"1,416","33,901",-61,322,0.95
5月18日,541,541,534,538,8,1.51,1.32,"33,605","34,913",0.96,181,"2,055",213,-600,"1,669",72.5,-741,"32,485",53,383,1.18
5月17日,521,533,520,530,10,1.92,2.5,"25,812","30,826",0.84,136,"1,627",356,"1,449","3,432",72.5,-379,"33,226",-9,330,0.99
5月16日,521,524,518,520,9,1.76,1.17,"22,013","30,034",0.73,115,"5,360",310,464,"6,134",72.5,-979,"33,605",79,339,1.01
5月13日,507,514,506,511,6,1.19,1.58,"30,205","37,707",0.8,154,"-4,075",120,"2,745","-1,210",72.5,420,"34,584",72,260,0.75
5月12日,516,518,505,505,-16,-3.07,2.5,"35,825","107,513",0.33,183,"-11,205",-18,-651,"-11,874",72.5,-42,"34,164",-35,188,0.55
5月11日,518,526,518,521,3,0.58,1.54,"28,110","40,227",0.7,147,"-2,924",113,-272,"-3,083",72.5,49,"34,206",98,223,0.65
