交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
6月10日,11.45,11.55,11.4,11.45,-0.05,-0.43,1.3,"2,952",936,3.15,0.34,"-1,402",0,38,"-1,364",11.6,56,"2,544",1,1,0.04
6月9日,11.5,11.6,11.5,11.5,-0.1,-0.86,0.86,"1,882",714,2.64,0.22,-712,0,-1.58,-714,11.6,-6,"2,488",0,0,0
6月8日,11.6,11.6,11.5,11.6,0.05,0.43,0.87,"1,841",797,2.31,0.21,-512,0,183,-329,11.6,-60,"2,494",0,0,0
6月7日,11.6,11.65,11.5,11.55,-0.1,-0.86,1.29,"2,235",702,3.18,0.26,"-1,855",0,0.25,"-1,855",11.6,257,"2,554",0,0,0
6月6日,11.6,11.65,11.55,11.65,0.1,0.87,0.87,"1,928",762,2.53,0.22,-226,0,28,-198,11.7,-29,"2,297",0,0,0
6月2日,11.5,11.55,11.5,11.55,0.05,0.43,0.43,"1,832",545,3.36,0.21,-617,0,-31.5,-649,11.7,-9,"2,326",0,0,0
6月1日,11.7,11.7,11.5,11.5,-0.1,-0.86,1.72,"3,048","1,286",2.37,0.35,-990,0,-756,"-1,746",11.7,14,"2,335",0,0,0
5月31日,11.7,11.7,11.6,11.6,-0.15,-1.28,0.85,"4,246","2,127",2,0.49,"-1,049",0,-871,"-1,920",11.7,-23,"2,321",0,0,0
5月30日,11.7,11.8,11.65,11.75,0.15,1.29,1.29,"3,830","1,734",2.21,0.45,"1,621",0,159,"1,780",11.8,-107,"2,344",0,0,0
5月27日,11.6,11.65,11.55,11.6,0.1,0.87,0.87,"4,259","1,713",2.49,0.49,"1,871",0,131,"2,002",11.7,-19,"2,451",0,0,0
5月26日,11.5,11.55,11.45,11.5,0.05,0.44,0.87,"1,792",597,3,0.21,58,1,41,100,11.7,-25,"2,470",0,0,0
5月25日,11.55,11.6,11.45,11.45,-0.05,-0.43,1.3,"3,381",965,3.5,0.39,211,0,412,623,11.7,-65,"2,495",0,0,0
5月24日,11.5,11.6,11.5,11.5,-0.05,-0.43,0.87,"1,475",524,2.81,0.17,-316,0,-9.74,-326,11.7,-52,"2,560",0,0,0
5月23日,11.6,11.6,11.4,11.55,0,0,1.73,"2,693",583,4.62,0.31,-451,0,89.4,-362,11.7,18,"2,612",0,0,0
5月20日,11.35,11.55,11.35,11.55,0.2,1.76,1.76,"2,541",717,3.54,0.29,888,0,-13.2,875,11.7,-91,"2,594",0,0,0
5月19日,11.45,11.5,11.35,11.35,-0.3,-2.58,1.29,"3,199","1,198",2.67,0.36,"-1,109",-5,9.4,"-1,105",11.7,-156,"2,685",-6,0,0
5月18日,11.5,11.7,11.45,11.65,0.15,1.3,2.17,"4,935","2,043",2.42,0.57,167,1,30.2,198,11.7,-35,"2,841",-56,6,0.21
5月17日,11.45,11.55,11.35,11.5,0.05,0.44,1.75,"4,425","1,363",3.25,0.51,"-1,289",2,165,"-1,122",11.7,60,"2,876",2,62,2.16
5月16日,11.4,11.5,11.2,11.45,0.1,0.88,2.64,"7,631","2,747",2.78,0.87,"-1,738",0,144,"-1,594",12,12,"2,816",46,60,2.13
5月13日,11.2,11.35,11.1,11.35,0.25,2.25,2.25,"5,388","1,795",3,0.61,549,1,125,675,12,5,"2,804",-60,14,0.5
5月12日,11.3,11.35,11.05,11.1,-0.3,-2.63,2.63,"7,956","2,068",3.85,0.89,"-2,547",0,-99.7,"-2,647",12,-200,"2,799",18,74,2.64
