交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
6月10日,264.5,266.5,263.5,264,-1,-0.38,1.13,678,649,1.04,1.79,-131,0,1.03,-130,29.8,9,230,-1,21,9.13
6月9日,265.5,266.5,264.5,265,-1.5,-0.56,0.75,531,533,1,1.41,-223,-5,5.02,-223,29.8,7,221,0,22,9.95
6月8日,265.5,267.5,265.5,266.5,0,0,0.75,842,765,1.1,2.24,-158,2,33,-123,29.9,1,214,0,22,10.3
6月7日,267,268,264,266.5,-1,-0.37,1.5,"1,098","1,006",1.09,2.92,-299,-2.79,0.27,-302,29.9,1,213,0,22,10.3
6月6日,266,267.5,263.5,267.5,4.5,1.71,1.52,844,"1,014",0.83,2.25,82.9,-5.65,-8.09,69.1,29.9,-35,212,0,22,10.4
6月2日,265,267,263,263,-3.5,-1.31,1.5,"1,834","1,681",1.09,4.84,-247,-802,5.35,"-1,043",29.9,38,247,-7,22,8.91
6月1日,271,271,266,266.5,-9,-3.27,1.81,"2,194","1,899",1.16,5.87,-21.6,-811,-0.14,-833,30,56,209,-9,29,13.9
5月31日,267,275.5,265,275.5,7,2.61,3.91,"3,664","1,786",2.05,9.94,847,-920,23.2,-49.8,30,-31,153,3,38,24.8
5月30日,267.5,269,263.5,268.5,-1,-0.37,2.04,"1,940","1,718",1.13,5.17,543,-812,76.2,-194,29.9,4,184,-3,35,19
5月27日,270,271.5,266,269.5,0,0,2.04,"1,887","1,570",1.2,5.08,430,-582,60.9,-91.3,29.8,3,180,-16,38,21.1
5月26日,269,269.5,265.5,269.5,1,0.37,1.49,"1,684","1,460",1.15,4.51,747,-655,92,184,29.8,-5,177,-4,54,30.5
5月25日,264,268.5,262.5,268.5,4.5,1.7,2.27,"2,141","1,624",1.32,5.69,488,-459,48.9,77.5,29.7,-29,182,8,58,31.9
5月24日,261.5,265,260,264,2,0.76,1.91,"2,352","1,749",1.34,6.18,51.2,-484,-23.2,-456,29.7,-15,211,18,50,23.7
5月23日,268.5,269,261.5,262,-9.5,-3.5,2.76,"2,956","2,857",1.03,7.76,"-1,084",-368,52.9,"-1,399",29.7,60,226,5,32,14.2
5月20日,275.5,277,267.5,271.5,-6.5,-2.34,3.42,"3,516","3,925",0.9,9.56,187,-299,9.23,-103,29.8,44,166,-2,27,16.3
5月19日,267,278,263.5,278,8.5,3.15,5.38,"2,935","2,937",1,7.95,717,-145,0.69,572,29.8,-19,122,3,29,23.8
5月18日,261.5,269.5,261.5,269.5,8,3.06,3.06,"1,793","2,667",0.67,4.78,409,-146,0.71,263,29.7,-48,141,19,26,18.4
5月17日,267.5,267.5,261,261.5,-2.5,-0.95,2.46,"1,015","1,835",0.55,2.67,-400,2,38.5,-359,29.6,22,189,7,7,3.7
5月16日,268,268.5,264,264,-1,-0.38,1.7,567,"1,007",0.56,1.5,-29.7,-5,36,1.29,29.7,3,167,0,0,0
5月13日,264.5,267.5,263,265,4,1.53,1.72,760,"1,688",0.45,2.01,-96.8,14,52.3,-30.4,29.7,-19,164,0,0,0
5月12日,264.5,265,261,261,-3.5,-1.32,1.51,845,"6,028",0.14,2.22,-459,1,0.07,-458,29.7,22,183,0,0,0
5月11日,264,267,263,264.5,-1,-0.38,1.51,"1,094","3,959",0.28,2.89,-200,-4,-5,-209,29.8,0,161,0,0,0
